Feature,Importance Score
price_usd,318.0
prop_id_affinity,270.0
prop_location_score2,237.0
prop_log_historical_price,216.0
prop_id_clicks,136.0
prop_id,119.0
prop_location_score1,112.0
prop_id_count,98.0
orig_destination_distance,92.0
srch_booking_window,81.0
random_bool,80.0
prop_review_score,75.0
prop_starrating,63.0
srch_destination_id,62.0
adr_usd_diff,57.0
comp5_rate_percent_diff,40.0
comp8_rate_percent_diff,39.0
srch_length_of_stay,38.0
comp3_rate_percent_diff,35.0
promotion_flag,34.0
visitor_location_country_id,33.0
prop_country_id,32.0
starrating_diff,32.0
comp2_rate_percent_diff,23.0
comp7_rate_percent_diff,22.0
month,21.0
site_id,20.0
srch_adults_count,17.0
comp4_rate_percent_diff,13.0
comp8_rate,13.0
comp2_rate,12.0
prop_brand_bool,11.0
comp6_rate_percent_diff,11.0
comp1_rate_percent_diff,10.0
comp2_inv,10.0
srch_children_count,9.0
comp1_inv,9.0
comp3_rate,9.0
comp5_rate,9.0
srch_room_count,8.0
comp5_inv,8.0
comp6_rate,6.0
srch_saturday_night_bool,5.0
comp3_inv,4.0
comp7_rate,4.0
comp8_inv,4.0
comp1_rate,3.0
comp4_rate,2.0
comp4_inv,2.0
comp7_inv,2.0
comp6_inv,1.0
